SYMBOL,PRICE,STRATEGY,DTE,Strikes,Price Open,Price Mgmt,Price Close,PnL,POP,DELTA,GAMMA,THETA,VEGA,Date Open,Date Close
IWM,,SHORT PUT VERTICAL,16,120.5 - 125.5,0.95,,-0.71,0.24,78%,28.46,-2.212,25.363,-7.16,2/20/2020,5/22/2020
QQQ,,SHORT PUT VERTICAL,2,221-228,2.05,,-1.42,0.63,79%,20.14,-4.57,17.142,-4.7,2/20/2020,5/22/2020
May 21,,,,,,,,,,,,,,,
IWM,,SHORT CALL VERTICAL,1,150-155,0.19,,-0.18,0.01,82%,-11.01,-2.3,5.5,-5.76,5/21/2020,5/22/2020
SFIX,,SHORT IRON CONDOR,22,14-15-29-30,0.24,,-0.24,0,69%,-0.25,-0.02,1.05,-1.03,5/21/2020,5/28/2020
May 22,,,,,,,,,,,,,,,
DOCU,,SHORT STRANGLE,56,100-170,4.25,,-3.55,0.7,79%,-5.93,-1.37,11.877,-22.62,5/22/2020,5/26/20020
COF,,SHORT STRANGLE,56,40-80,1.44,-7.03,,-5.59,83%,-1.72,-2.19,4.724,-7.94,5/22/2020,5/9/2020
CRM,,SHORT IRON CONDOR,7,145-165-190-210,1.91,,-0.42,1.49,70%,-4.95,-3.13,27.019,-9.92,5/22/2020,5/29/2020
/ZW,,SHORT STRANGLE,35,460-570,5.125,,-4.625,0.5,79%,-6.46,-0.01,12.405,-31.57,5/22/2020,5/26/20020
May 26,,,,,,,,,,,,,,,
TSLA,,SHORT IRON CONDOR,3,750-760-890-900,1.03,,0,1.03,84%,0.58,-0.15,29.171,-5.41,5/26/2020,5/29/2020
ZM,,SHORT IRON CONDOR,10,130-140-200-210,2.17,-1.64,-0.06,0.47,71%,2.35,-0.55,19.34,-4.44,5/26/2020,6/5/2020
DOCU,,SHORT IRON CONDOR,10,110-115-145-150,1.54,-0.80,-0.10,0.64,62%,1.25,-0.69,10.244,-2.84,5/26/2020,6/5/2020
May 27,,,,,,,,,,,,,,,
QQQ,,SHORT IRON CONDOR,51,218-226-226-244,10.26,,,,59%,-23.74,-0.26,3.290,-10.11,5/27/2020,
May 28,,,,,,,,,,,,,,,
May 29,,,,,,,,,,,,,,,
TSLA,,SHORT IRON CONDOR,7,720-730-890-900,1.40,,-0.32,1.08,76%,-2.65,-0.09,14.96,-5.79,5/29/2020,6/5/2020
AMZN,,SHORT IRON CONDOR,7,2280-2290-2600-2610,1.30,,-0.59,0.71,90%,0.01,-0.03,8.30,-7.18,5/29/2020,6/1/2020
SHOP,,SHORT IRON CONDOR,7,640-650-860-870,1.15,,-0.45,0.7,90%,-0.16,-0.06,13.44,-4.19,5/29/2020,6/1/2020
June 1,,,,,,,,,,,,,,,
June 2,,,,,,,,,,,,,,,
June 3,,,,,,,,,,,,,,,
June 4,,,,,,,,,,,,,,,
/GC,,SHORT IRON CONDOR,54,1600-1630-1850-1880,7.40,,,,64%,20.52,0,9.389,-67.66,6/4/2020,
WORK,,SHORT STRANGLE (3P/2C),1,32-45,1.73,,,1.73,80%,126.35,-25.93,191.9,-3.5,6/4/2020,6/5/2020
June 5,,,,,,,,,,,,,,,
June 8,,,,,,,,,,,,,,,
BA,,SHORT IRON CONDOR,4,180-190-260-270,1.19,,,,79%,-6.04,-0.31,13.67,-2.02,6/8/2020,
ZM,,SHORT IRON CONDOR,4,175-185-225-235,1.40,,,,73%,-5.51,-1.09,31.71,-4.67,6/8/2020,
SHOP,,SHORT IRON CONDOR,4,640-660-780-800,3.04,,,,78%,-3.39,-0.26,42.847,-9.53,6/8/2020,
TSLA,,SHORT IRON CONDOR,4,810-820-1050-1060,0.78,,,,86%,-1,-0.04,12.178,-2.67,6/8/2020,
